time,temperature_2m,precipitation,wind_speed_10m
2025-12-30T00:00,2.0,0.0,9.6
2025-12-30T01:00,1.9,0.0,10.9
2025-12-30T02:00,1.6,0.0,9.2
2025-12-30T03:00,1.5,0.0,9.3
2025-12-30T04:00,1.6,0.0,11.0
2025-12-30T05:00,1.6,0.0,11.1
2025-12-30T06:00,1.6,0.0,9.7
2025-12-30T07:00,1.5,0.0,9.2
2025-12-30T08:00,1.4,0.0,9.0
2025-12-30T09:00,2.2,0.0,9.1
2025-12-30T10:00,3.8,0.0,7.3
2025-12-30T11:00,5.5,0.0,5.4
2025-12-30T12:00,6.7,0.0,6.6
2025-12-30T13:00,7.3,0.0,6.6
2025-12-30T14:00,7.3,0.0,5.3
2025-12-30T15:00,7.1,0.0,3.8
2025-12-30T16:00,6.4,0.0,2.6
2025-12-30T17:00,5.6,0.0,2.2
2025-12-30T18:00,5.1,0.0,1.6
2025-12-30T19:00,4.0,0.0,5.1
2025-12-30T20:00,3.4,0.0,3.3
2025-12-30T21:00,3.3,0.0,4.1
2025-12-30T22:00,3.3,0.0,3.4
2025-12-30T23:00,3.5,0.0,3.8
2025-12-31T00:00,3.3,0.0,5.4
2025-12-31T01:00,3.2,0.0,7.1
2025-12-31T02:00,3.2,0.0,8.3
2025-12-31T03:00,3.2,0.0,7.4
2025-12-31T04:00,3.3,0.0,8.0
2025-12-31T05:00,3.1,0.0,7.9
2025-12-31T06:00,3.1,0.0,8.3
2025-12-31T07:00,2.9,0.0,7.7
2025-12-31T08:00,2.8,0.0,8.2
2025-12-31T09:00,3.1,0.0,7.3
2025-12-31T10:00,4.8,0.0,6.8
2025-12-31T11:00,6.4,0.0,4.0
2025-12-31T12:00,8.0,0.0,0.8
2025-12-31T13:00,8.7,0.0,4.2
2025-12-31T14:00,8.4,0.0,5.2
2025-12-31T15:00,7.9,0.0,6.5
2025-12-31T16:00,7.1,0.0,8.2
2025-12-31T17:00,6.3,0.0,9.7
2025-12-31T18:00,6.3,0.0,9.6
2025-12-31T19:00,6.0,0.0,9.0
2025-12-31T20:00,4.5,0.0,6.1
2025-12-31T21:00,3.6,0.0,6.7
2025-12-31T22:00,3.2,0.0,6.5
2025-12-31T23:00,2.7,0.0,7.9
2026-01-01T00:00,2.5,0.0,8.3
2026-01-01T01:00,2.5,0.0,7.6
2026-01-01T02:00,2.7,0.0,7.2
2026-01-01T03:00,2.8,0.0,6.6
2026-01-01T04:00,2.6,0.0,7.2
2026-01-01T05:00,2.3,0.0,6.9
2026-01-01T06:00,2.3,0.0,6.9
2026-01-01T07:00,2.2,0.0,6.8
2026-01-01T08:00,2.2,0.0,7.6
2026-01-01T09:00,2.8,0.0,6.6
2026-01-01T10:00,4.2,0.0,6.1
2026-01-01T11:00,5.6,0.0,7.2
2026-01-01T12:00,6.2,0.0,8.2
2026-01-01T13:00,6.4,0.0,8.2
2026-01-01T14:00,6.4,0.0,7.7
2026-01-01T15:00,6.1,0.0,7.9
2026-01-01T16:00,5.3,0.0,6.9
2026-01-01T17:00,4.6,0.0,6.9
2026-01-01T18:00,4.4,0.0,6.6
2026-01-01T19:00,4.4,0.0,7.6
2026-01-01T20:00,4.6,0.0,6.6
2026-01-01T21:00,4.6,0.0,7.2
2026-01-01T22:00,4.6,0.0,7.5
2026-01-01T23:00,4.7,0.0,7.2
2026-01-02T00:00,4.7,0.0,7.9
2026-01-02T01:00,4.6,0.0,7.6
2026-01-02T02:00,5.2,0.0,8.9
2026-01-02T03:00,5.5,0.0,7.7
2026-01-02T04:00,5.4,0.0,9.2
2026-01-02T05:00,5.4,0.0,10.0
2026-01-02T06:00,5.4,0.0,10.5
2026-01-02T07:00,5.0,0.0,10.1
2026-01-02T08:00,4.3,0.0,8.7
2026-01-02T09:00,5.5,0.0,10.6
2026-01-02T10:00,6.3,0.0,13.9
2026-01-02T11:00,7.4,0.0,11.3
2026-01-02T12:00,7.6,0.0,9.1
2026-01-02T13:00,7.8,0.0,9.1
2026-01-02T14:00,7.0,0.1,14.4
2026-01-02T15:00,7.3,0.0,11.0
2026-01-02T16:00,6.5,0.0,9.4
2026-01-02T17:00,5.9,0.2,10.1
2026-01-02T18:00,6.1,0.3,5.8
2026-01-02T19:00,6.3,0.2,8.6
2026-01-02T20:00,6.3,0.1,11.4
2026-01-02T21:00,5.9,0.0,11.9
2026-01-02T22:00,6.2,0.0,12.5
2026-01-02T23:00,6.0,0.1,11.2
2026-01-03T00:00,6.2,0.2,9.0
2026-01-03T01:00,6.4,0.1,5.9
2026-01-03T02:00,6.5,0.5,5.3
2026-01-03T03:00,6.7,0.7,6.4
2026-01-03T04:00,6.7,1.2,1.1
2026-01-03T05:00,6.8,1.6,3.1
2026-01-03T06:00,6.9,7.4,8.4
2026-01-03T07:00,7.0,2.6,10.8
2026-01-03T08:00,7.0,0.2,6.1
2026-01-03T09:00,7.0,0.0,6.1
2026-01-03T10:00,7.3,0.0,8.6
2026-01-03T11:00,8.2,0.0,9.7
2026-01-03T12:00,8.9,0.0,22.8
2026-01-03T13:00,8.2,0.0,28.9
2026-01-03T14:00,8.1,0.1,20.1
2026-01-03T15:00,8.1,0.1,18.7
2026-01-03T16:00,7.9,0.4,14.0
2026-01-03T17:00,7.9,0.1,12.0
2026-01-03T18:00,7.8,0.1,11.5
2026-01-03T19:00,7.8,0.1,11.3
2026-01-03T20:00,7.8,0.1,11.5
2026-01-03T21:00,7.8,0.1,11.8
2026-01-03T22:00,7.8,0.1,11.6
2026-01-03T23:00,7.6,0.0,10.5
2026-01-04T00:00,7.4,0.0,9.4
2026-01-04T01:00,7.3,0.0,8.0
2026-01-04T02:00,7.2,0.3,6.0
2026-01-04T03:00,7.0,0.3,3.6
2026-01-04T04:00,6.9,0.3,1.8
2026-01-04T05:00,6.8,0.3,1.1
2026-01-04T06:00,6.6,0.3,4.1
2026-01-04T07:00,6.5,0.3,7.9
2026-01-04T08:00,6.4,0.1,12.6
2026-01-04T09:00,6.3,0.1,18.1
2026-01-04T10:00,6.4,0.1,22.1
2026-01-04T11:00,6.6,0.0,23.7
2026-01-04T12:00,7.0,0.0,23.5
2026-01-04T13:00,7.1,0.0,22.3
2026-01-04T14:00,7.0,0.0,20.3
2026-01-04T15:00,6.7,0.0,18.0
2026-01-04T16:00,6.2,0.0,14.8
2026-01-04T17:00,5.6,0.0,11.2
2026-01-04T18:00,4.9,0.0,6.8
2026-01-04T19:00,4.4,0.0,3.3
2026-01-04T20:00,4.4,0.0,0.5
2026-01-04T21:00,4.5,0.0,1.4
2026-01-04T22:00,4.6,0.0,2.5
2026-01-04T23:00,4.4,0.0,2.8
2026-01-05T00:00,4.1,0.0,5.1
2026-01-05T01:00,3.9,0.0,7.1
2026-01-05T02:00,3.7,0.0,7.5
2026-01-05T03:00,3.6,0.0,7.4
2026-01-05T04:00,3.4,0.0,7.3
2026-01-05T05:00,3.1,0.0,7.6
2026-01-05T06:00,2.8,0.0,8.3
2026-01-05T07:00,2.8,0.0,8.6
2026-01-05T08:00,3.4,0.0,8.3
2026-01-05T09:00,4.5,0.0,7.4
2026-01-05T10:00,5.4,0.0,7.1
2026-01-05T11:00,6.0,0.0,7.3
2026-01-05T12:00,6.4,0.0,7.7
2026-01-05T13:00,6.7,0.0,7.9
2026-01-05T14:00,6.6,0.0,7.1
2026-01-05T15:00,6.4,0.0,5.9
2026-01-05T16:00,6.2,0.0,5.4
2026-01-05T17:00,6.2,0.0,6.6
2026-01-05T18:00,6.3,0.0,8.6
2026-01-05T19:00,6.1,0.0,10.2
2026-01-05T20:00,5.7,0.0,10.5
2026-01-05T21:00,5.1,0.0,10.3
2026-01-05T22:00,4.5,0.0,9.8
2026-01-05T23:00,4.1,0.0,9.4
